vars,coefs1011,coefs1112,coefs1213,coefs1314,coefs1415,coefs1516,coefs1617
(Intercept),-3.33369346420579,-4.70478884053047,-3.72048235171298,-3.51317704466323,-4.37637570069255,-4.5183902756879,-3.91939932158353
ct_commercial_1000,.,.,.,.,.,.,.
ct_industrial_1000,.,.,.,.,.,.,.
ct_landbank_1000,0.0249746888791012,.,0.011298446744943,0.0199771281312553,0.0144953504425338,0.0182954543951608,0.0398457615918447
ct_mortfc_1000,.,9.39196629987498,7.84570219803339,13.3299412004402,3.17491069393978,19.1223228968791,.
ct_rent_1000,-0.914557037414366,-0.14927851930728,.,-1.0728549260876,.,-0.210271895974243,.
ct_resid_1000,.,.,.,.,.,.,.
ct_taxd_1000,3.2897474851558,4.10957204545883,5.07570408958188,5.94880119559177,6.56112373567643,4.54265856301878,6.09607984842673
ct_vacantlot_1000,0.0109395430293882,0.0138085550444323,0.0127317556952154,0.0149038433255703,0.0122117671860793,0.0131240174746328,0.00501813779428756
ct_vacant_1000,0.690633454315491,1.07009087579023,1.66842804040459,0.60425018569582,0.315942584971834,.,1.10055137120842
med_age_1000,0.0135566666260985,0.0211812087597105,0.0103726058722237,0.00953276901374917,0.00595607812622581,0.0151481597700355,0.00524225953639072
med_prop_sqft_1000,.,.,.,.,.,.,.
med_sqft_1000,.,.,.,.,.,.,.
mn_bldgs_1000,.,.,.,.,.,.,.
mn_rooms_1000,.,0.00513390199444896,.,0.0334990639867778,.,0.0123745095598709,.
prop_aircond_1000,.,.,.,-2.13801848509369,.,.,.
prop_brick_1000,-0.561920246164177,-1.07591202107247,.,-0.4987607604465,.,-1.42793686205092,.
